TITLE,SENTIMENT,SOURCE,DESCRIPTION,IMAGE
Cognitive Decline? Trump Appears to Forget Who He’s Running Against,-0.6511648,The New Republic,"Donald Trump is still not over the fact that he has to run against Kamala Harris, not Joe Biden.",https://s.yimg.com/uu/api/res/1.2/lIwDgRTHuJhKg3sQF2LT3A--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/the_new_republic_521/6185e720783638a67450637d2c86a256.cf.jpg
Climate crisis is helping spread deadly mosquito viruses in the US,-0.9448448,Business Insider,Mosquito-borne illnesses like triple E and West Nile are rising due to climate change and travel.,https://s.yimg.com/uu/api/res/1.2/TdX97i53XeBqnJvMqQhi.w--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/business_insider_articles_888/2566aa7f07ce8cdb1c174c6a060d50d9.cf.jpg
White House secures release of 135 political prisoners in Nicaragua,0.17572626,Miami Herald,"The Biden administration said Thursday it had secured the release of 135 “unjustly detained political prisoners” in Nicaragua on humanitarian grounds, including 13 members of a Texas-based missionary organization.",https://s.yimg.com/uu/api/res/1.2/nV718WMOl7RZcNdMzL4CTg--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/miami_herald_mcclatchy_975/3f6cf239b6fe9bfff2d4530d85ff3f1a.cf.jpg
"Georgia high school shooting: 14-year-old suspect who killed 4, injured 9 was previously investigated in 2023 for online threats",-0.791326,Yahoo News,Officials confirmed that the suspect in had been investigated in 2023 over threats about a school shooting.,https://s.yimg.com/uu/api/res/1.2/r8T8oB2okDDtVQVcUzi06Q--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2024-09/e094ee50-6ae0-11ef-97fb-41d5f881beef.cf.jpg
Autopsies Show Four on Mike Lynch’s Yacht ‘Dry Drowned’,-0.06893226,The Daily Beast,"Four of the dead passengers who went down with the 184-foot luxury yacht Bayesian off the coast of Sicily on August 19 during a storm likely ran out of oxygen while trapped in an air pocket in one of the cabins of on the submerged ship, according to autopsies released Wednesday. Medical Examiners at the Forensic Medicine Institute of the Palermo Polyclinic hospital stated that Chris Morvillo, his wife Neda Morvillo, Morgan Stanley executive Jonathan Bloomer and his wife Anne Bloomer died from “a",https://s.yimg.com/uu/api/res/1.2/vE.ZG9moSYHgGgOROk1e2A--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/thedailybeast.com/6c4dea1033a3321ae83b804ce49ba766.cf.jpg
The new dimension to Dolphins’ offense this year. What Smith can unlock. And injury news,0.32769847,Miami Herald,A look at how Jonnu Smith’s signing adds a new dimension to the Miami Dolphins’ offense,https://s.yimg.com/uu/api/res/1.2/C7bFs87HNR88bXXRbCjFOw--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/miami_herald_mcclatchy_975/703d293ec189f06451a648dc1ad83c7e.cf.jpg
Whoopi Goldberg Slams ABC—and ICE—for Allowing Anna Delvey on ‘DWTS’,-0.21941663,The Daily Beast,"Whoopi Goldberg is not happy about her employer ABC’s decision to cast convicted con artist Anna Delvey on the upcoming season of Dancing With the Stars.“I think back to all the families who’ve had family members arrested by ICE who have gone to the courts to get their dad or their brother or their mother back,” Goldberg said on The View Thursday after a clip played of Delvey joking about dressing up her ankle monitor and stating she wasn’t nervous to appear on the show since they can’t “arrest",https://s.yimg.com/uu/api/res/1.2/aNGiXZyJa.s.UYy06kAJQQ--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/thedailybeast.com/6f335e4a33d1c68a9a46a3400ad0072f.cf.jpg
Restaurantera de Folsom no ha pagado renta en tres meses. Dice que tiene derecho a quedarse,-0.15608925,Sacramento Bee,"El restaurante cuenta con una terraza al aire libre con asientos con vista a la franja de tres cuadras de tiendas, restaurantes y bares del histórico Folsom.",https://s.yimg.com/uu/api/res/1.2/p8dEI.YOY3R6Cxj2z5OCFw--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/es/sacramento_bee_mcclatchy_569/095ec914c39ebc2aa4f4c3cf66dba63d.cf.jpg
America’s Grandparents Have New Reason to Hate JD Vance,-0.86924356,The Daily Beast,"JD Vance said his solution to the rising cost of daycare is asking family members to pitch in and abolishing “ridiculous” certifications for child care workers.“Maybe grandpa and grandma want to help a little bit more. Maybe there’s an uncle or aunt who wants to help a little bit more,” the GOP vice presidential nominee told Charlie Kirk at a Turning Point USA event on Wednesday.According to Vance, for those without access to family members, “empowering people to get the skills they need” is cru",https://s.yimg.com/uu/api/res/1.2/.pECfJ0i_d6k93HI1xJzyw--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/thedailybeast.com/14519490d555064b477ef527fd1d8900.cf.jpg
"As Ramsey misses another practice, the Dolphins secondary has more questions than answers",-0.7211998,Miami Herald,The starting secondary has barely practiced together since the beginning of training camp and Jalen Ramsey’s hamstring injury only further complicates things.,https://s.yimg.com/uu/api/res/1.2/F8eUdSu0ZV.PAv6ZBGt4yA--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/miami_herald_mcclatchy_975/7ef595fc3471e12eb969824fb6f93cae.cf.jpg
Chipotle and Cheesecake Factory among Miami to Palm Beach restaurant inspection failures,-0.6489409,Miami Herald,See which restaurant was covered with sewage.,https://s.yimg.com/uu/api/res/1.2/8vba5QeLuKnx2QbqXGLi0A--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/miami_herald_mcclatchy_975/c364a254f16a0ed3a693042af5f40a15.cf.jpg
A Gen Xer who grew her savings from $50k to $350k in 10 years shares the FIRE methods she's using to get to $1 million,0.4531071,Business Insider,A Gen Xer shares the FIRE strategies she uses to reach $1 million in savings and retire by age 55.,https://s.yimg.com/uu/api/res/1.2/6ziuhDcfKBycKt_ROXYGiA--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/business_insider_articles_888/b63ecbdc8662ce120ff63c444870f448.cf.jpg
JD Vance will join Tucker Carlson on stage after the ex-Fox News anchor hosted a pro-Nazi historian,-0.27686852,Salon,The appearance comes after Carlson used his web show to promote Holocaust revisionism,https://s.yimg.com/uu/api/res/1.2/2BzMV41toRkwkNQes8dUqg--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/salon_articles_879/cfa77227842983cb4ef70f0368366cfa.cf.jpg
Video,0.20887172,Space,"On Sept. 5, 1977, Voyager 1 began its epic journey through deep space with a glorious morning launch from Cape Canaveral, Florida. Voyager 1 initially launched on a mission to explore the outer planets. After flying by Jupiter and Saturn in 1979 and 1980, the spacecraft took a sharp turn and started heading straight out of the solar system. Voyager 1 became the first spacecraft to reach interstellar space in 2012, although scientists are still debating about exactly where that boundary lies. The",https://s.yimg.com/uu/api/res/1.2/nL3_tUBqiko0_i0ncW.xog--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/thedailybeast.com/e27a7d50dbfc7ce716c80f3101fe5cc7.cf.jpg
French Woman Drugged and Raped for 10 Years Gives Shock Testimony,-0.7099766,The Daily Beast,"A French woman who was drugged and raped by her husband and dozens of other men for over a decade testified Thursday at a trial that has shocked the world.Gisèle Pélicot, 72, gave evidence in an Avignon court, where 51 men including her spouse of 50 years face rape charges. Dominique Pélicot, 71, admitted to police that he derived satisfaction from observing other men rape his unconscious wife, according to court documents.“My world is falling apart, for me, everything is falling apart” is how G",https://s.yimg.com/uu/api/res/1.2/MGu99bZ6onXd4kCAX44diw--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/salon_articles_879/395062b0a3b4245c5956f567f77be1da.cf.jpg
How a surprise visit from Martha Stewart inspired a restaurant's signature egg dish,0.62643564,Salon,"""I made this dish the first evening I cooked for her at Bedford Post Inn""",https://s.yimg.com/uu/api/res/1.2/vyJGkihcTKnW4WDBfr5aeQ--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/business_insider_articles_888/95f0e181f09bf67a44616c2d02c5bc46.cf.jpg
A federal court just dealt a blow to 30 million student-loan borrowers by blocking Biden from carrying out his second try at broad debt cancellation,-0.82368773,Business Insider,A federal court put a temporary restraining order on Biden's second try at broad student-loan forgiveness that was set to be carried out next month.,https://s.yimg.com/uu/api/res/1.2/xF0yeRSLQa_IB.5vkgHvJQ--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/insider_articles_922/b1567e2a1733a20e750a900e465f160a.cf.jpg
Here's what every member of the Trump family is up to after leaving the White House,-0.21568356,INSIDER,"Members of the Trump family attended the 2024 Republican National Convention, including rare appearances from Melania Trump and Ivanka Trump.",https://s.yimg.com/uu/api/res/1.2/bVYRa0dCt.MOGu6rwGaVjA--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/thedailybeast.com/4a76da8061ebe0ed0d49748c19efd60c.cf.jpg
